operation,n,time_milisec
generalized_dot,1000,0.033875003282446414
generalized_dot,1000,0.03391600330360234
generalized_dot,1000,0.03391600330360234
generalized_dot,1000,0.033875003282446414
generalized_dot,1000,0.03383400326129049
generalized_dot,1000,0.033958000130951405
generalized_dot,1000,0.033958000130951405
generalized_dot,1000,0.03399999695830047
generalized_dot,1000,0.034000004234258085
generalized_dot,1000,0.034040996979456395
generalized_dot,1000,0.034083001082763076
generalized_dot,1000,0.03587499668356031
generalized_dot,1000,0.03170799755025655
generalized_dot,1000,0.03154200385324657
generalized_dot,1000,0.0311659969156608
generalized_dot,1000,0.030707997211720794
generalized_dot,1000,0.030707997211720794
generalized_dot,1000,0.030667004466522485
generalized_dot,1000,0.030667004466522485
generalized_dot,1000,0.030666000384371728
generalized_dot,1000,0.030625000363215804
matrix_vector,1000,0.03233299503335729
matrix_vector,1000,0.03237499913666397
matrix_vector,1000,0.03237499913666397
matrix_vector,1000,0.03237499913666397
matrix_vector,1000,0.03237499913666397
matrix_vector,1000,0.03237499913666397
matrix_vector,1000,0.0324159991578199
matrix_vector,1000,0.0324159991578199
matrix_vector,1000,0.0324159991578199
matrix_vector,1000,0.03241699596401304
matrix_vector,1000,0.03245900006731972
matrix_vector,1000,0.032500000088475645
matrix_vector,1000,0.03258400101913139
matrix_vector,1000,0.032625001040287316
matrix_vector,1000,0.03324999852338806
matrix_vector,1000,0.030707997211720794
matrix_vector,1000,0.02995900285895914
matrix_vector,1000,0.02983299782499671
matrix_vector,1000,0.029625000024680048
matrix_vector,1000,0.029625000024680048
matrix_vector,1000,0.029625000024680048
generalized_dot,1100,0.0478329966426827
generalized_dot,1100,0.05533299554372206
generalized_dot,1100,0.05616700218524784
generalized_dot,1100,0.05641700408887118
generalized_dot,1100,0.046208995627239347
generalized_dot,1100,0.04529099533101544
generalized_dot,1100,0.045249995309859514
generalized_dot,1100,0.05937500100117177
generalized_dot,1100,0.04358300066087395
generalized_dot,1100,0.04345799970906228
generalized_dot,1100,0.04316699778428301
generalized_dot,1100,0.06008399941492826
generalized_dot,1100,0.04274999810149893
generalized_dot,1100,0.04245799937052652
generalized_dot,1100,0.04237500252202153
generalized_dot,1100,0.04220900154905394
generalized_dot,1100,0.04104199615539983
generalized_dot,1100,0.039709004340693355
generalized_dot,1100,0.039667000237386674
generalized_dot,1100,0.039457998354919255
generalized_dot,1100,0.07200000254670158
matrix_vector,1100,0.03854200622299686
matrix_vector,1100,0.03862500307150185
matrix_vector,1100,0.038875004975125194
matrix_vector,1100,0.03891700180247426
matrix_vector,1100,0.03891700180247426
matrix_vector,1100,0.039083999581635
matrix_vector,1100,0.03804099833359942
matrix_vector,1100,0.03800000558840111
matrix_vector,1100,0.03795800148509443
matrix_vector,1100,0.03791599738178775
matrix_vector,1100,0.03929199738195166
matrix_vector,1100,0.03787500463658944
matrix_vector,1100,0.03787500463658944
matrix_vector,1100,0.037874997360631824
matrix_vector,1100,0.03783299325732514
matrix_vector,1100,0.03779200051212683
matrix_vector,1100,0.03779200051212683
matrix_vector,1100,0.03779200051212683
matrix_vector,1100,0.037750003684777766
matrix_vector,1100,0.037707999581471086
matrix_vector,1100,0.040541002817917615
generalized_dot,1200,0.04916699981549755
generalized_dot,1200,0.04916699981549755
generalized_dot,1200,0.04937499761581421
generalized_dot,1200,0.04937500489177182
generalized_dot,1200,0.049166003009304404
generalized_dot,1200,0.0490829988848418
generalized_dot,1200,0.04900000203633681
generalized_dot,1200,0.04900000203633681
generalized_dot,1200,0.04966700362274423
generalized_dot,1200,0.04975000047124922
generalized_dot,1200,0.04879100015386939
generalized_dot,1200,0.04875000013271347
generalized_dot,1200,0.04875000013271347
generalized_dot,1200,0.04870900011155754
generalized_dot,1200,0.04866700328420848
generalized_dot,1200,0.04866700328420848
generalized_dot,1200,0.04866699600825086
generalized_dot,1200,0.04991699825040996
generalized_dot,1200,0.04854099825024605
generalized_dot,1200,0.048250003601424396
generalized_dot,1200,0.05266600055620074
matrix_vector,1200,0.049875001423060894
matrix_vector,1200,0.050082999223377556
matrix_vector,1200,0.050374997954349965
matrix_vector,1200,0.050457994802854955
matrix_vector,1200,0.05062499985797331
matrix_vector,1200,0.05062499985797331
matrix_vector,1200,0.050709000788629055
matrix_vector,1200,0.05087500176159665
matrix_vector,1200,0.05108299956191331
matrix_vector,1200,0.04795800487045199
matrix_vector,1200,0.04795799759449437
matrix_vector,1200,0.04774999979417771
matrix_vector,1200,0.04770899977302179
matrix_vector,1200,0.047666995669715106
matrix_vector,1200,0.04766600613947958
matrix_vector,1200,0.052292001782916486
matrix_vector,1200,0.04754200199386105
matrix_vector,1200,0.04750000516651198
matrix_vector,1200,0.047458997869398445
matrix_vector,1200,0.04733300011139363
matrix_vector,1200,0.04729200009023771
generalized_dot,1300,0.06729199958499521
generalized_dot,1300,0.06937500438652933
generalized_dot,1300,0.07000000186963007
generalized_dot,1300,0.0661670055706054
generalized_dot,1300,0.06529200618388131
generalized_dot,1300,0.0714999987394549
generalized_dot,1300,0.07162499969126657
generalized_dot,1300,0.06470800144597888
generalized_dot,1300,0.07245800225064158
generalized_dot,1300,0.06420899444492534
generalized_dot,1300,0.07300000288523734
generalized_dot,1300,0.06295800267253071
generalized_dot,1300,0.07424999785143882
generalized_dot,1300,0.06162499630590901
generalized_dot,1300,0.06133399438112974
generalized_dot,1300,0.06125000072643161
generalized_dot,1300,0.06100000609876588
generalized_dot,1300,0.06083300104364753
generalized_dot,1300,0.07612499757669866
generalized_dot,1300,0.060375001339707524
generalized_dot,1300,0.059958998463116586
matrix_vector,1300,0.060874997870996594
matrix_vector,1300,0.060999998822808266
matrix_vector,1300,0.060083002608735114
matrix_vector,1300,0.06004200258757919
matrix_vector,1300,0.06208299600984901
matrix_vector,1300,0.05929100007051602
matrix_vector,1300,0.05920800322201103
